Experiment_Type,Mean_ExperimentTime_min
BB_T_D_M,17.629126136363638
BB_T_D_SM,17.702815573770494
BB_T_D_ST,20.419346296296293
BB_T_D_T,19.383100833333334
M_D_A_M,14.810088
M_D_A_T,21.62508448275862
M_D_M,14.420997849462365
M_D_N_M,19.244732424242425
M_D_N_T,15.538270977011495
M_D_S_M,15.89343361111111
M_D_S_T,14.391157004830918
M_D_T,12.861908024691358
M_T_A,15.187607716049383
M_T_N,12.531680072463768
M_T_NV,11.803913988095237
W_G,10.965716049382717
W_GHE,15.585855654761904
W_H,17.864218079096045
W_HGE,18.661235815602836
W_N,12.876406666666668
W_NV_G,16.920931538461538
W_NV_N,12.598752614379086
W_VA_H,17.154818548387098
W_VA_N,13.541573717948719
W_VN_H,15.139657692307692
W_VN_N,19.95322638888889
W_V_G,15.728496732026143
W_V_N,14.149930333333334
